,Product,Code,Price,updated on,Retailer
0,Depilator IPL BEURER IPL 9000+ SalonPro System,375363,1189.00,2018-12-29 20:57:11.818772,Electro.pl
1,Golarka BEURER HL 35,840974,154.12,2018-12-29 20:57:11.818772,Electro.pl
2,Suszarka BEURER HC 60 Czarny,910840,167.90,2018-12-29 20:57:11.818772,Electro.pl
3,Smartband BEURER AS 80 Pomarańczowy,603294,220.05,2018-12-29 20:57:11.818772,Electro.pl
4,Radiobudzik BEURER WL 80,561071,379.99,2018-12-29 20:57:11.818772,Electro.pl
5,Ciśnieniomierz BEURER BM85,268601,345.00,2018-12-29 20:57:11.818772,Electro.pl
6,Ciśnieniomierz BEURER BM 40,1299,119.00,2018-12-29 20:57:11.818772,Electro.pl
7,Ciśnieniomierz BEURER BM 47,476029,149.90,2018-12-29 20:57:11.818772,Electro.pl
8,Ciśnieniomierz BEURER BM 44,62751,139.00,2018-12-29 20:57:11.818772,Electro.pl
9,Ciśnieniomierz BEURER BM95,719511,539.00,2018-12-29 20:57:11.818772,Electro.pl
10,Ciśnieniomierz BEURER BC 40,603286,109.90,2018-12-29 20:57:11.818772,Electro.pl
11,Pulsometr BEURER PM 90,546655,536.13,2018-12-29 20:57:11.818772,Electro.pl
12,Ciśnieniomierz BEURER BC 30,546561,83.90,2018-12-29 20:57:11.818772,Electro.pl
13,Ciśnieniomierz BEURER BC 58,546555,159.90,2018-12-29 20:57:11.818772,Electro.pl
14,Ciśnieniomierz BEURER BM 26,226543,148.82,2018-12-29 20:57:11.818772,Electro.pl
15,Ciśnieniomierz BEURER BM 58,1291,229.99,2018-12-29 20:57:11.818772,Electro.pl
16,Inhalator BEURER IH 26,910814,219.00,2018-12-29 20:57:11.818772,Electro.pl
17,Koc elektryczny BEURER HD 100,548073,399.75,2018-12-29 20:57:11.818772,Electro.pl
18,Koc elektryczny BEURER TS 23,73525,180.34,2018-12-29 20:57:11.818772,Electro.pl
19,Koc elektryczny BEURER TS-19,375243,129.90,2018-12-29 20:57:11.818772,Electro.pl
20,Koc elektryczny BEURER UB 100,841034,399.00,2018-12-29 20:57:11.818772,Electro.pl
21,Koc elektryczny BEURER UB 68 XXL,841030,369.00,2018-12-29 20:57:11.818772,Electro.pl
22,Koc elektryczny BEURER UB 60,841026,239.00,2018-12-29 20:57:11.818772,Electro.pl
23,Masażer antycellulitowy BEURER CM 50,546593,145.00,2018-12-29 20:57:11.818772,Electro.pl
24,Masażer BEURER MG 100,840994,354.29,2018-12-29 20:57:11.818772,Electro.pl
25,Masażer do stóp BEURER FM 60,546619,289.00,2018-12-29 20:57:11.818772,Electro.pl
26,Masażer BEURER MG 70,546595,227.29,2018-12-29 20:57:11.818772,Electro.pl
27,Masażer BEURER MG 80,546607,269.00,2018-12-29 20:57:11.818772,Electro.pl
28,Elektrostymulator mięśni i nerwów BEURER EM 25,476021,120.36,2018-12-29 20:57:11.818772,Electro.pl
29,Masażer do stóp BEURER FB20,229259,159.90,2018-12-29 20:57:11.818772,Electro.pl
30,Elektrostymulator BEURER EM 80,470975,314.99,2018-12-29 20:57:11.818772,Electro.pl
31,Masażer BEURER MG 21,1297,78.90,2018-12-29 20:57:11.818772,Electro.pl
32,Poduszka rozgrzewająca BEURER HK 42 Super-Cosy,910874,138.38,2018-12-29 20:57:11.818772,Electro.pl
33,Masażer do stóp BEURER FB30,719509,183.81,2018-12-29 20:57:11.818772,Electro.pl
34,Poduszka rozgrzewająca BEURER HK 115 COSY,546575,169.90,2018-12-29 20:57:11.818772,Electro.pl
35,Mata masująca BEURER MG 254,680292,579.00,2018-12-29 20:57:11.818772,Electro.pl
36,Nawilżacz BEURER LB 88,600769,359.00,2018-12-29 20:57:11.818772,Electro.pl
37,Nawilżacz ultradźwiękowy BEURER LB 12,841012,148.77,2018-12-29 20:57:11.818772,Electro.pl
38,Nawilżacz ultradźwiękowy BEURER LB88,230247,352.40,2018-12-29 20:57:11.818772,Electro.pl
39,Nawilżacz BEURER LB44,230245,229.27,2018-12-29 20:57:11.818772,Electro.pl
40,Oczyszczacz BEURER LR 300,661942,681.99,2018-12-29 20:57:11.818772,Electro.pl
41,Oczyszczacz BEURER LW 110 B z funkcją nawilżania,230271,719.90,2018-12-29 20:57:11.818772,Electro.pl
42,Oczyszczacz BEURER LW 220 z funkcją nawilżania,655324,729.00,2018-12-29 20:57:11.818772,Electro.pl
43,Poduszka elektryczna BEURER HK comfort,116971,103.31,2018-12-29 20:57:11.818772,Electro.pl
44,Poduszka rozgrzewająca BEURER HK 49,841016,176.90,2018-12-29 20:57:11.818772,Electro.pl
45,Poduszka rozgrzewająca BEURER HK 72,841018,303.21,2018-12-29 20:57:11.818772,Electro.pl
46,Stacja pogody BEURER HM 16 Biały,230249,59.90,2018-12-29 20:57:11.818772,Electro.pl
47,Waga dziecięca BEURER BY80,539461,198.42,2018-12-29 20:57:11.818772,Electro.pl
48,Waga BEURER KS 59 XL,476031,141.19,2018-12-29 20:57:11.818772,Electro.pl
49,Waga BEURER KS 52,564061,129.90,2018-12-29 20:57:11.818772,Electro.pl
50,Waga BEURER KS 36,527195,116.36,2018-12-29 20:57:11.818772,Electro.pl
51,Waga BEURER KS 19 Breakfast,841058,61.76,2018-12-29 20:57:11.818772,Electro.pl
52,Waga BEURER KS 19 Lemon,564053,65.00,2018-12-29 20:57:11.818772,Electro.pl
53,Waga BEURER KS 19 Black,468255,62.39,2018-12-29 20:57:11.818772,Electro.pl
54,Waga BEURER KS 19 Sequence,327275,55.40,2018-12-29 20:57:11.818772,Electro.pl
55,Waga BEURER KS 19 Fresh,225111,65.00,2018-12-29 20:57:11.818772,Electro.pl
56,Waga BEURER KS 19 Berry,224454,65.00,2018-12-29 20:57:11.818772,Electro.pl
57,Waga BEURER BG 55,564117,329.99,2018-12-29 20:57:11.818772,Electro.pl
58,Waga BEURER BG 13,64583,109.00,2018-12-29 20:57:11.818772,Electro.pl
59,Waga BEURER BG 21,481179,117.00,2018-12-29 20:57:11.818772,Electro.pl
60,Waga BEURER BF800 Czarny,268599,376.40,2018-12-29 20:57:11.818772,Electro.pl
61,Waga BEURER BF195,765317,109.90,2018-12-29 20:57:11.818772,Electro.pl
62,Waga BEURER BF 220,564109,109.99,2018-12-29 20:57:11.818772,Electro.pl
63,Waga BEURER PS 240,538553,101.41,2018-12-29 20:57:11.818772,Electro.pl
64,Waga BEURER BG 51XXL,564115,179.00,2018-12-29 20:57:11.818772,Electro.pl
65,Waga BEURER BG 39,64473,129.00,2018-12-29 20:57:11.818772,Electro.pl
66,Waga BEURER BG 40,468245,185.00,2018-12-29 20:57:11.818772,Electro.pl
67,Waga BEURER BF 700,470977,197.00,2018-12-29 20:57:11.818772,Electro.pl
68,Waga BEURER PS 160,564071,76.83,2018-12-29 20:57:11.818772,Electro.pl
69,Waga BEURER GS 11,64521,74.90,2018-12-29 20:57:11.818772,Electro.pl
70,Waga BEURER GS 485,564103,140.25,2018-12-29 20:57:11.818772,Electro.pl
71,Waga BEURER GS 420 Tara,564101,144.99,2018-12-29 20:57:11.818772,Electro.pl
72,Waga BEURER GS 200 Allium,564087,67.10,2018-12-29 20:57:11.818772,Electro.pl
73,Waga BEURER PS890,563465,247.27,2018-12-29 20:57:11.818772,Electro.pl
74,Waga BEURER GS 203 New York,561045,69.15,2018-12-29 20:57:11.818772,Electro.pl
75,Waga BEURER BF800 Biały,268597,316.37,2018-12-29 20:57:11.818772,Electro.pl
76,Laktator elektryczny BEURER BY60,719549,456.58,2018-12-29 20:57:11.818772,Electro.pl
77,Laktator elektryczny BEURER BY40,719547,265.68,2018-12-29 20:57:11.818772,Electro.pl
78,Sterylizator BEURER BY76,539255,176.59,2018-12-29 20:57:11.818772,Electro.pl
79,Aromatyzer BEURER LA 30,546603,136.79,2018-12-29 20:57:11.818772,Electro.pl
80,Niania elektroniczna BEURER BY88 Smart,719545,429.00,2018-12-29 20:57:11.818772,Electro.pl
81,Niania elektroniczna BEURER BY99 Dual,719543,652.99,2018-12-29 20:57:11.818772,Electro.pl
